"data_date";"key";"date";"schools_closed";"schools_closed_perc";"schools_limited";"schools_limited_perc";"schools_limited_distance";"schools_limited_distance_perc";"schools_total";"students_infected";"students_infected_perc";"students_quarantine";"students_quarantine_perc";"students_total";"teacher_infected";"teacher_infected_perc";"teacher_quarantine";"teacher_quarantine_perc";"teacher_total";"students_perc";"teacher_perc"
"2022-02-03";"bl_sl";"2022-02-05";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"302";"3759";"3,20892591897014e+00";"4695";"4,00795615577675e+00";"117142";"239";"2,46188710341986e+00";"271";"2,79151215492377e+00";"9708";"3,208925918970138902";"2,46188710341985972"
"2022-02-03";"bl_sn";"2022-02-05";"8";"5,80973129992738e-01";"301";"2,18591140159768e+01";NA;NA;"1377";"12429";"2,98656298959064e+00";"4425";"1,06328274430273e+00";"416164";"767";"2,48775583017093e+00";"74";"2,40018163536700e-01";"30831";"2,986562989590642481";"2,48775583017093194"
"2022-02-03";"bl_st";"2022-02-05";"4";"5,61797752808989e-01";"83";"1,16573033707865e+01";"82";"1,15168539325843e+01";"712";"7668";"3,92787624218830e+00";"5662";"2,90031759041082e+00";"195220";"440";"3,11173974540311e+00";"135";"9,54738330975955e-01";"14140";"3,927876242188300449";"3,11173974540311171"
"2022-02-03";"bl_sh";"2022-02-05";"0";"0,00000000000000e+00";"12";"1,34228187919463e+00";"12";"1,34228187919463e+00";"894";"3297";"8,69629438156607e-01";"3995";"1,05373661068718e+00";"379127";"255";"8,23483820964929e-01";"160";"5,16695730801524e-01";"30966";"0,869629438156607204";"0,82348382096492923"
"2022-02-03";"bl_th";"2022-02-05";"3";"3,09597523219814e-01";"168";"1,73374613003096e+01";"145";"1,49638802889577e+01";"969";"3234";"1,29370349627970e+00";"8762";"3,50508040643251e+00";"249980";"232";"1,10824496035158e+00";"338";"1,61459826120187e+00";"20934";"1,293703496279702492";"1,10824496035158115"
"2022-02-03";"bereinigter_anteil";NA;NA;"1,51474650271763e-01";NA;"7,48017464136149e+00";NA;"8,40024238751704e+00";NA;NA;"2,94005887687454e+00";NA;"3,41323121773501e+00";NA;NA;"2,08837941175757e+00";NA;"1,07614687338574e+00";NA;NA;NA
"2022-02-03";"bereinigte_bezugsgrosse";NA;NA;"2,24460000000000e+04";NA;"2,24460000000000e+04";NA;"1,32020000000000e+04";NA;NA;"9,35307800000000e+06";NA;"7,99512200000000e+06";NA;NA;"8,24898000000000e+05";NA;"7,06595000000000e+05";NA;NA;NA
"2022-01-27";"bl_bw";"2022-01-28";"0";NA;"0";NA;"470";"1,05879702635729e+01";"4439";"24489";"1,66906347334774e+00";"27878";"1,90004293805334e+00";"1467230";"1629";"1,18252562501815e+00";"1161";"8,42794506228404e-01";"137756";"1,669063473347736748";"1,18252562501814817"
"2022-01-27";"bl_by";"2022-01-29";"2";"3,31729971802952e-02";"524";"8,69132526123735e+00";NA;NA;"6029";"38952";"2,40478734930722e+00";"44512";"2,74804617201589e+00";"1619769";"2311";"1,37004167630024e+00";"705";"4,17948672346026e-01";"168681";"2,404787349307215827";"1,37004167630023543"
"2022-01-27";"bl_be";"2022-01-29";"0";"0,00000000000000e+00";NA;NA;NA;NA;"902";NA;NA;NA;NA;"458779";NA;NA;NA;NA;"50846";NA;NA
